Activation,Tensor_Size,Mean_Proving_Time_s,Std_Dev_Prove_s,Mean_Verify_Time_s,Mean_Proof_Size_KB,Peak_RAM_MB,Compute_Node
Sigmoid,8500,94.74846682548522,2.778152056257353,0.7360838413238525,2559.85625,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,9000,103.84866995811463,25.238816869989655,0.4950155735015869,2709.3482421875,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,9500,88.7806833744049,1.0914266689427259,0.4573984146118164,2858.7501953125,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,10000,88.71141066551209,0.43883737887419605,0.4849708080291748,3008.296484375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,10500,89.61709508895873,2.5958262164594474,0.548637580871582,3157.6318359375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,11000,87.99995694160461,2.030579248232536,0.5140113353729248,3307.0251953125,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,11500,88.37268838882446,0.5258965198789852,0.48047456741333006,3456.524609375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,12000,85.65719375610351,2.3928616236139346,0.45464534759521485,3605.88046875,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,12500,89.30506582260132,1.6891738098433584,0.5459536552429199,3755.265234375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,13000,89.04452705383301,0.6644831949471549,0.497537899017334,3904.7708984375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,13500,89.17294435501098,1.4413645137962803,0.5205278873443604,4054.006640625,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,14000,91.53100962638855,2.7584728709014326,0.6512184619903565,4203.5912109375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,14500,88.54376549720764,1.7185033744826477,0.583972692489624,4353.05,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,15000,88.59166531562805,0.5709849521236909,0.5344655513763428,4502.46484375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,15500,88.72374691963196,3.377055271183665,0.5633207321166992,4651.62734375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,16000,92.16668553352356,3.073847436340175,0.6342009544372559,4801.183984375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,16500,184.49446177482605,5.757372369969293,1.584888219833374,4950.2439453125,6562.83984375,node1k04.ecdf.ed.ac.uk
Sigmoid,17000,189.82145504951478,4.288433561507117,1.3938916206359864,5099.982421875,6592.87890625,node1k04.ecdf.ed.ac.uk
Sigmoid,17500,193.7060323238373,7.746179826337148,1.226883316040039,5249.3220703125,6592.87890625,node1k04.ecdf.ed.ac.uk
Sigmoid,18000,188.97514657974244,2.8332597556077492,1.1537282943725586,5398.78515625,6592.87890625,node1k04.ecdf.ed.ac.uk
Sigmoid,18500,199.22788243293763,5.698448650920671,1.4401859760284423,5547.833203125,6592.87890625,node1k04.ecdf.ed.ac.uk
Sigmoid,19000,185.6888434410095,5.185144470315916,1.1477842330932617,5697.557421875,6592.87890625,node1k04.ecdf.ed.ac.uk
Sigmoid,19500,183.4233452796936,3.686638492417692,1.416103219985962,5847.0921875,6592.87890625,node1k04.ecdf.ed.ac.uk
Sigmoid,20000,186.03785920143127,11.48735379048057,1.561432123184204,5996.2673828125,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,10,11.721364736557007,0.6426507269854079,0.038416147232055664,22.948046875,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,100,12.173819971084594,0.4796399210735839,0.05639934539794922,49.775,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,500,11.98187689781189,0.19671664230333058,0.04785771369934082,169.3134765625,6592.87890625,node1k04.ecdf.ed.ac.uk
