model_type,parameter_size,trial,logrows,proving_time,peak_ram_mb,proof_size_mb
Linear,8000,4,17,76.27643060684204,0.9379615783691406,1.1658744812011719
Linear,8000,5,17,87.76101803779602,0.9379615783691406,1.1656866073608398
Linear,8500,1,17,107.22397518157959,0.9956588745117188,1.235921859741211
Linear,8500,2,17,98.44189190864563,0.9956588745117188,1.236083984375
Linear,8500,3,17,108.37685513496399,0.9956588745117188,1.2359819412231445
Linear,8500,4,17,92.79194808006287,0.9956588745117188,1.235931396484375
Linear,8500,5,17,90.5568299293518,0.9956588745117188,1.2361688613891602
Linear,9000,1,17,87.82928705215454,1.0533561706542969,1.3061408996582031
Linear,9000,2,17,99.97805523872375,1.0533561706542969,1.3064489364624023
Linear,9000,3,17,103.82792139053345,1.0533561706542969,1.3062896728515625
Linear,9000,4,17,99.2468113899231,1.0533561706542969,1.3062658309936523
Linear,9000,5,17,99.87661600112915,1.0533561706542969,1.3063955307006836
Linear,9500,1,17,100.1037392616272,1.111053466796875,1.3768854141235352
Linear,9500,2,17,102.50169110298157,1.111053466796875,1.3764715194702148
Linear,9500,3,17,94.0780394077301,1.111053466796875,1.376943588256836
Linear,9500,4,17,93.40247654914856,1.111053466796875,1.3765907287597656
Linear,9500,5,17,96.90936541557312,1.111053466796875,1.3766231536865234
Linear,10000,1,17,95.93407583236694,1.1687507629394531,1.4474859237670898
Linear,10000,2,17,105.36998629570007,1.1687507629394531,1.4472475051879883
Linear,10000,3,17,102.81825923919678,1.1687507629394531,1.4472084045410156
Linear,10000,4,17,114.35444474220276,1.1687507629394531,1.4472694396972656
Linear,10000,5,17,111.10804486274719,1.1687507629394531,1.4472274780273438
Linear,10500,1,17,115.56513237953186,1.2264480590820312,1.5176639556884766
Linear,10500,2,17,116.97323155403137,1.2264480590820312,1.5176010131835938
Linear,10500,3,17,116.87714076042175,1.2264480590820312,1.517500877380371
Linear,10500,4,17,123.6012818813324,1.2264480590820312,1.5172004699707031
Linear,10500,5,17,134.89650559425354,1.2264480590820312,1.5176153182983398
Linear,11000,1,17,151.22674465179443,1.2841453552246094,1.5880365371704102
Linear,11000,2,17,126.42247676849365,1.2841453552246094,1.5876731872558594
Linear,11000,3,17,121.25880408287048,1.2841453552246094,1.5876646041870117
Linear,11000,4,17,119.15745258331299,1.2841453552246094,1.5874862670898438
Linear,11000,5,17,122.73663210868835,1.2841453552246094,1.5875873565673828
Linear,11500,1,17,162.58469343185425,1.3462371826171875,1.669891357421875
Linear,11500,2,17,167.28421139717102,1.3462371826171875,1.6699552536010742
Linear,11500,3,17,161.519437789917,1.3462371826171875,1.6698884963989258
Linear,11500,4,17,174.19887852668762,1.3462371826171875,1.6698417663574219
Linear,11500,5,17,173.46449065208435,1.3462371826171875,1.6698389053344727
Linear,12000,1,17,179.24587106704712,1.4039344787597656,1.7403392791748047
Linear,12000,2,17,173.6831831932068,1.4039344787597656,1.7403335571289062
Linear,12000,3,17,182.4686484336853,1.4039344787597656,1.7404909133911133
Linear,12000,4,17,164.1262559890747,1.4039344787597656,1.740431785583496
Linear,12000,5,17,154.23031854629517,1.4039344787597656,1.7403039932250977
Linear,12500,1,17,168.25744676589966,1.4616317749023438,1.8111238479614258
Linear,12500,2,17,192.50904774665833,1.4616317749023438,1.8107490539550781
Linear,12500,3,17,164.55789637565613,1.4616317749023438,1.8111639022827148
Linear,12500,4,17,174.97579145431519,1.4616317749023438,1.8106889724731445
Linear,12500,5,17,139.6640589237213,1.4616317749023438,1.8108243942260742
Linear,13000,1,17,160.48104047775269,1.5193290710449219,1.881561279296875
Linear,13000,2,17,150.97253227233887,1.5193290710449219,1.8812179565429688
Linear,13000,3,17,143.17526483535767,1.5193290710449219,1.8811883926391602
Linear,13000,4,17,153.59529542922974,1.5193290710449219,1.8812999725341797
Linear,13000,5,17,147.60056281089783,1.5193290710449219,1.8814029693603516
Linear,13500,1,17,151.60911011695862,1.5770263671875,1.9516677856445312
Linear,13500,2,17,154.08689880371094,1.5770263671875,1.9512271881103516
Linear,13500,3,17,145.60420036315918,1.5770263671875,1.9513988494873047
Linear,13500,4,17,168.8570432662964,1.5770263671875,1.9512948989868164
Linear,13500,5,17,166.16186261177063,1.5770263671875,1.9517889022827148
Linear,14000,1,17,158.2998423576355,1.6347236633300781,2.0219640731811523
Linear,14000,2,17,176.47826766967773,1.6347236633300781,2.022075653076172
Linear,14000,3,17,182.80552530288696,1.6347236633300781,2.021953582763672
Linear,14000,4,17,172.30677676200867,1.6347236633300781,2.0216732025146484
Linear,14000,5,17,178.53367829322815,1.6347236633300781,2.022038459777832
Linear,14500,1,17,173.51072311401367,1.6924209594726562,2.092121124267578
Linear,14500,2,17,176.05617952346802,1.6924209594726562,2.0918264389038086
Linear,14500,3,17,166.30402755737305,1.6924209594726562,2.092161178588867
Linear,14500,4,17,171.41166591644287,1.6924209594726562,2.0922441482543945
Linear,14500,5,17,171.62104511260986,1.6924209594726562,2.0924291610717773
Linear,15000,1,17,211.00130128860474,1.7544517517089844,2.174290657043457
Linear,15000,2,17,204.57035446166992,1.7544517517089844,2.1743040084838867
Linear,15000,3,17,197.34139227867126,1.7544517517089844,2.173788070678711
Linear,15000,4,17,192.1474130153656,1.7544517517089844,2.174283027648926
Linear,15000,5,17,191.76630187034607,1.7544517517089844,2.174361228942871
Linear,15500,1,17,195.86927342414856,1.8121490478515625,2.2445268630981445
Linear,15500,2,17,192.90085530281067,1.8121490478515625,2.244626998901367
Linear,15500,3,17,186.14919519424438,1.8121490478515625,2.24428653717041
Linear,15500,4,17,189.64392399787903,1.8121490478515625,2.2447166442871094
Linear,15500,5,17,194.13000631332397,1.8121490478515625,2.2444000244140625
Linear,16000,1,17,197.90335869789124,1.8698463439941406,2.314973831176758
Linear,16000,2,17,194.9439926147461,1.8698463439941406,2.3148584365844727
Linear,16000,3,17,189.1670458316803,1.8698463439941406,2.31473445892334
Linear,16000,4,17,177.43718194961548,1.8698463439941406,2.314986228942871
Linear,16000,5,17,190.5950746536255,1.8698463439941406,2.3148937225341797
Linear,16500,1,17,181.35600900650024,1.9275436401367188,2.3856096267700195
Linear,16500,2,17,182.70516729354858,1.9275436401367188,2.3850860595703125
Linear,16500,3,17,169.86190009117126,1.9275436401367188,2.385129928588867
Linear,16500,4,17,173.54551482200623,1.9275436401367188,2.3851137161254883
Linear,16500,5,17,192.30211663246155,1.9275436401367188,2.3853988647460938
Linear,17000,1,17,188.39214086532593,1.9852409362792969,2.4559974670410156
Linear,17000,2,17,193.9665825366974,1.9852409362792969,2.4554643630981445
Linear,17000,3,17,185.7516405582428,1.9852409362792969,2.455415725708008
Linear,17000,4,17,186.47898411750793,1.9852409362792969,2.455807685852051
Linear,17000,5,17,190.05302381515503,1.9852409362792969,2.4556331634521484
Linear,17500,1,17,192.3970184326172,2.042938232421875,2.5260210037231445
Linear,17500,2,17,179.9707429409027,2.042938232421875,2.5259628295898438
Linear,17500,3,17,182.2388050556183,2.042938232421875,2.5260324478149414
Linear,17500,4,17,183.1863353252411,2.042938232421875,2.526256561279297
Linear,17500,5,17,187.1115620136261,2.042938232421875,2.5263261795043945
Linear,18000,1,17,185.82169795036316,2.100635528564453,2.5967559814453125
Linear,18000,2,17,199.26721358299255,2.100635528564453,2.59659481048584
Linear,18000,3,17,198.78267312049866,2.100635528564453,2.5967559814453125
Linear,18000,4,17,203.85075759887695,2.100635528564453,2.5964059829711914
Linear,18000,5,17,188.09141182899475,2.100635528564453,2.5963134765625
Linear,18500,1,17,180.7822926044464,2.1583328247070312,2.6669883728027344
Linear,18500,2,17,180.5352268218994,2.1583328247070312,2.6667280197143555
Linear,18500,3,17,194.22519946098328,2.1583328247070312,2.667069435119629
Linear,18500,4,17,186.75986242294312,2.1583328247070312,2.666597366333008
Linear,18500,5,17,187.00704383850098,2.1583328247070312,2.667037010192871
Linear,19000,1,17,199.16701817512512,2.2203636169433594,2.7486534118652344
Linear,19000,2,17,181.78657507896423,2.2203636169433594,2.7486467361450195
Linear,19000,3,17,153.79388523101807,2.2203636169433594,2.7490310668945312
Linear,19000,4,17,152.3794882297516,2.2203636169433594,2.7492074966430664
Linear,19000,5,17,139.3866240978241,2.2203636169433594,2.748943328857422
Linear,19500,1,17,145.6427707672119,2.2780609130859375,2.8193283081054688
Linear,19500,2,17,143.95049023628235,2.2780609130859375,2.818902015686035
Linear,19500,3,17,165.95782613754272,2.2780609130859375,2.819155693054199
Linear,19500,4,17,168.72806906700134,2.2780609130859375,2.8193845748901367
